,time,likes,no:rt,clean_tweet,sentiment,polarity,subjectivity
0,"2021-04-12, 21:00",0,0,Biggest Losers 1 hr Bitcoin Standard Hashrate Token BTCST 5 84 MaidSafeCoin MAID 5 52 SwissBorg,negative,-0.1,0.1
1,"2021-04-12, 21:00",1,0,Top 5 Cryptocurrencies Current Prices Bitcoin BTC 60 156 99 0 09 Ethereum ETH 2 151 34 0 44 Bina,positive,0.25,0.45
2,"2021-04-12, 21:00",0,0,on the 04 12 2021 at 09 00 1BTC was worth 60061 00 Bitcoin Crypto BotcoinUSD Bitfinex,positive,0.3,0.1
3,"2021-04-12, 21:01",0,1,New Bitcoin block 00 840be452159338efb634b29c6fe133f64287a825d574c 2469 transactions transferred a total of 8871,positive,0.06818181818181818,0.6022727272727273
4,"2021-04-12, 21:03",0,0,The current price of bitcoin is 60 105 00 It has increased by 0 796 in the last 24 hours bitcoin btc cryptocurrency,neutral,0.0,0.23333333333333334
5,"2021-04-12, 21:08",0,8,RT How to Use the BZ Telegram Bot to Trade Bitcoin in Kenya You will be able to learn how to buy amp sell Bitcoin Ethereum u,positive,0.5,0.625
6,"2021-04-12, 21:09",0,624,RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,neutral,0.0,0.0
7,"2021-04-12, 21:15",1,0,The current price of Bitcoin is 60038 00 The current price of BCash is 672 36 or 0 01119891 BTC The current pr,neutral,0.0,0.4000000000000001
8,"2021-04-12, 21:15",0,624,RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,neutral,0.0,0.0
9,"2021-04-12, 21:20",0,0,1 Bitcoin price is 59971 16 0 14 1h 2 Ethereum price is 2146 57 0 25 1h 3 Binance Coin price is 595 94,neutral,0.0,0.0
10,"2021-04-12, 21:28",0,624,RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,neutral,0.0,0.0
11,"2021-04-12, 21:32",0,624,RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,neutral,0.0,0.0
12,"2021-04-12, 21:44",0,15,RT defi Pre sale live Official time 10 00 Apr 06 2021 05 00 Apr 15 2021 UTC Pre sale Price 1 BALL 0 078 BNB Release Price,positive,0.13636363636363635,0.5
13,"2021-04-12, 21:44",0,624,RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,neutral,0.0,0.0
14,"2021-04-12, 21:44",6,4,avax AVAXUSD avaxusdt Avalanche coin binance Bitcoin elliot elliott Elliottwave ew EW Avax Avalanche U,neutral,0.0,0.0
15,"2021-04-12, 21:45",0,4,RT avax AVAXUSD avaxusdt Avalanche coin binance Bitcoin elliot elliott Elliottwave ew EW Avax Avalanche Usdt Usdc,neutral,0.0,0.0
16,"2021-04-12, 21:45",0,0,Every hour past 00 and 30 we will tweet CryptoCurrency Market Report in USD and every hour past 15 and 45 we wil,negative,-0.25,0.25
17,"2021-04-12, 21:46",0,4,RT avax AVAXUSD avaxusdt Avalanche coin binance Bitcoin elliot elliott Elliottwave ew EW Avax Avalanche Usdt Usdc,neutral,0.0,0.0
18,"2021-04-12, 21:50",0,0,CAB Kiosk Cynthia Abrafi Bitcoin Virtual Investment Store 1 20 50 100 200 500 1 000 Greater Toront,positive,0.5,0.5
19,"2021-04-12, 21:51",0,624,RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,neutral,0.0,0.0
20,"2021-04-12, 21:54",2,1,Amazon AMZN 6 00 Rewards Love It BTC ALGO Algorand The Blockchain For FutureFi Listen To My Album X Files Thi,positive,0.5,0.6
21,"2021-04-12, 21:55",1,1,I did a quick sniper shot on Amazon AMZN 6 00 Rewards Love It BTC ALGO Algorand The Blockchain For FutureFi L,positive,0.41666666666666663,0.55
22,"2021-04-12, 21:56",0,624,RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,neutral,0.0,0.0
23,"2021-04-12, 22:00",0,0,Crypto highlights as of 2021 04 12 18 00 02 Bitcoin 59 998 48 0 73 Ethereum 2 147 54 0 6,neutral,0.0,0.0
24,"2021-04-12, 22:00",0,0,The price of Spaghetti alla Carbonara is 18 337 Satoshis or 0 00018337 BTC 1 BTC 59 933 00 USD 1 USD 1 669 Sat,neutral,0.0,0.0
25,"2021-04-12, 22:00",0,1,RT Amazon AMZN 6 00 Rewards Love It BTC ALGO Algorand The Blockchain For FutureFi Listen To My Album X Files This A,positive,0.5,0.6
26,"2021-04-12, 22:00",0,1,RT I did a quick sniper shot on Amazon AMZN 6 00 Rewards Love It BTC ALGO Algorand The Blockchain For FutureFi List,positive,0.41666666666666663,0.55
