,tweets,time,likes,no:rt
0,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 09:16:33,0,822
1,"The current price of Bitcoin is $57008.00.
The current price of BCash is $962.91, or 0.01689079 BTC.
The current pr… https://t.co/euxMzcYZXJ",2021-04-19 09:15:02,0,0
2,"RT @JunkoSu22993224: If Chainlink Hits $50.00 This Week. 
Giving away $50.00 to every person that leaves a comment, retweets and likes this…",2021-04-19 09:14:54,0,624
3,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 09:14:43,0,822
4,"RT @MocktailSwap: Get ready for the Best Staking Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 09:14:38,0,315
5,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 09:14:12,0,822
6,"RT @MocktailSwap: Get ready for the Best Staking Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 09:13:33,0,315
7,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 09:12:42,0,822
8,"@elonmusk With 2 people dying this weekend in a Tesla, Your stock will probably go up $50 dollars a share and Bitco… https://t.co/JD2LLkjyaU",2021-04-19 09:12:26,0,0
9,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 09:11:52,0,822
10,"RT @ComBkex: 🔸 New Listing🔸 

#BKEX will list #VOX @RealVoxFinance🚀 🚀 
- Trading pair: VOX/USDT
- Trading time: 20:00 on Apr 3 (UTC+8)

🔹 🔹…",2021-04-19 09:11:44,0,109
11,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 09:11:32,0,822
12,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 09:11:06,0,822
13,"RT @BitSler: 👩‍🎤Sun 18 Apr 19:00 GMT - #DOTA2 🧚‍♀️

Time to make your prediction 🤑
https://t.co/dfyUitOAWi

1️⃣Evil Geniuses - 1.03
🏆WINNER…",2021-04-19 09:10:59,0,23
14,"RT @BitSler: 💰End the Weekend Rich!

🥊BET ON #BOXING - Sat 17 Apr 22:00 GMT
Place your bet here ➡️https://t.co/NRgvGoF0bo

1️⃣Andrade, Deme…",2021-04-19 09:09:44,0,30
15,"RT @BitSler: Are gonna watch #Cricket 🏏this weekend?

14:00 GMT #IPL 🏆
Place your bets now 👉https://t.co/OA0Gci6kMB

1️⃣Mumbai Indians - 1.…",2021-04-19 09:09:31,0,31
16,"RT @BitSler: Are you also Fan of #Cricket 🏏?

14:00 GMT #IPL 🏆
Place your bets now 👉https://t.co/zWmXJAgNq6

1️⃣Punjab Kings - 1.9
🏆WINNER…",2021-04-19 09:08:30,0,33
17,"RT @JunkoSu22993224: If Chainlink Hits $50.00 This Week. 
Giving away $50.00 to every person that leaves a comment, retweets and likes this…",2021-04-19 09:07:47,0,624
18,"RT @BitSler: Are you also Fan of #Cricket 🏏?

14:00 GMT #IPL 🏆
Place your bets now 👉https://t.co/iCLuMKLn4Q

1️⃣Delhi Capitals - 1.67
🏆WINN…",2021-04-19 09:05:27,0,32
19,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 09:05:24,0,822
20,"RT @IGSquawk: Crypto update:
#Bitcoin 56848.00 +1.07%
#Ether 2247.91 +0.9%
#BitcoinCash 997.34 +6.46%
#EOS 7.2592 +4.07%
#Stellar 0.5590 +1…",2021-04-19 09:05:08,0,4
21,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 09:04:52,0,822
22,"RT @BitSler: The #Cricket is BACK 🏏🏏🏏!

14:00 GMT #IPL 🏆
Place your bets now 👉

1️⃣Royal Challengers Bangalore - 1.8
🏆WINNER
2️⃣Sunrisers H…",2021-04-19 09:03:59,0,35
23,"The current price of bitcoin is $56,945.00. It has increased by 3.107% in the last 24 hours #bitcoin #btc #cryptocurrency",2021-04-19 09:03:49,0,0
24,on the 04/19/2021 at 09:02 1BTC was worth $56834.00 #Bitcoin #Crypto #BotcoinUSD #Bitfinex,2021-04-19 09:02:17,0,0
25,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 09:02:14,0,822
26,"Tesla has currently made $945,542,910.00 holding Bitcoin. #TeslaBTC",2021-04-19 09:01:15,0,0
27,"RT @BitSler: The #Cricket is BACK 🏏🏏🏏!

14:00 GMT #IPL 🏆
Place your bets now 👉https://t.co/pMiLx1yqIK

1️⃣SPunjab Kings - 1.83
🏆WINNER
2️⃣R…",2021-04-19 09:01:13,0,48
28,1 BTC Price: Bitstamp 56888.00 USD #BTC #Bitcoin 2021-04-19 05:00 https://t.co/isqnmj6D4N,2021-04-19 09:00:45,0,0
29,"The price of
Spaghetti alla Carbonara
is 19,324 Satoshis
or 0.00019324 BTC

1 BTC = 56,872.80 USD
1 USD = 1,758 Sat… https://t.co/3LiG2ZtuPz",2021-04-19 09:00:02,0,0
30,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:59:34,0,822
31,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:58:35,0,822
32,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:55:03,0,822
33,"RT @GregSchoen: I wish I had kept my 1,700 BTC @ $0.06 instead of selling them at $0.30, now that they're $8.00! #bitcoin",2021-04-19 08:52:59,0,7116
34,"RT @TransactionFees: Crypto fees (avg) &amp; stats for the past 24 hours:
-&gt; #Bitcoin: $51.56/tx paid in fees
-&gt; #Ethereum: $22.17/tx paid in f…",2021-04-19 08:52:36,0,12
35,USD/JPY looks towards 108.00 as sellers look to forge the next leg lower #Bitcoin #Btc #Cryptocurrency #Finance… https://t.co/UN8YMG7dbG,2021-04-19 08:52:18,0,0
